Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
"Dunklin County Transit Service, Inc.",Malden,MO,70063,Private-Non-Profit Corporation,Rural Reporter,2022,,,,15,DR,Demand Response,DO,15,0.00,,0.00,,72.57,,3,,27.97,,0.00,,0,,586515,,20973,,8082,,0,,197519,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,DR,Demand Response,PT,824,1.90,,0.01,,225.56,,1,,188.00,,19.15,,4728186,,467111823,,2484579,,2070897,,24395099,,22151691,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,HR,Heavy Rail,DO,5410,1.30,,0.43,,256.60,,86,,2.99,,0.76,,2326782567,,5349756161,,1788363060,,20848895,,7055402031,,338199451,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,CB,Commuter Bus,DO,443,6.18,,0.19,,441.67,,14,,32.44,,2.17,,49729810,,260991861,,8045660,,590916,,120130708,,9484995,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,MB,Bus,DO,3217,1.20,,0.19,,245.05,,39,,6.32,,2.66,,552000888,,2897009660,,458602306,,11822039,,1088139630,,82638609,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10019,RB,Bus Rapid Transit,DO,125,1.19,,0.19,,229.19,,37,,6.27,,3.36,,19891924,,104396745,,16646754,,455509,,31036519,,3008832,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,CR,Commuter Rail,DO,865,6.94,,0.22,,706.35,,22,,31.73,,1.11,,277787790,,1270807775,,40054391,,1799117,,1145563899,,59140432,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,VP,Vanpool,PT,50,4.21,,0.22,,143.31,,8,,18.99,,0.51,,700245,,3158657,,166362,,22040,,6253529,,916381,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,LR,Light Rail,PT,42,0.65,,0.07,,780.42,,85,,9.20,,2.24,,7023343,,99296195,,10793219,,127235,,44271738,,2087932,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ",19426449,3289,DR,Demand Response,PT,340,1.99,,0.02,,134.88,,2,,84.74,,13.00,,2642963,,112424650,,1326652,,833500,,8649765,,13683433,
